Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
54045512,05/01/2022 12:00:54 AM,05/01/2022 01:23:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,891 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,BERGEN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 01:23:56 AM,08 BROOKLYN,3011420083,BROOKLYN,995928,186024,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.677261963774754,-73.95789821122167,"(40.677261963774754, -73.95789821122167)"
54047170,05/01/2022 12:00:57 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1137 FTELEY AVENUE,FTELEY AVENUE,WATSON AVENUE,GLEASON AVENUE,WATSON AVENUE,GLEASON AVENUE,ADDRESS,BRONX,FTELEY AVENUE,,In Progress,,,,09 BRONX,2037470061,BRONX,1019881,240936,PHONE,Unspecified,BRONX,,,,,,,,40.827917280959994,-73.87125142626837,"(40.827917280959994, -73.87125142626837)"
54047886,05/01/2022 12:01:01 AM,05/01/2022 12:13:01 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,355 WEST  202 STREET,WEST  202 STREET,DEAD END,9 AVENUE,DEAD END,9 AVENUE,ADDRESS,NEW YORK,WEST  202 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:13:04 AM,12 MANHATTAN,1021840020,MANHATTAN,1006663,252740,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86035921934875,-73.9189736805977,"(40.86035921934875, -73.9189736805977)"
54049475,05/01/2022 12:01:03 AM,05/01/2022 12:48:42 AM,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10012,63 CROSBY STREET,CROSBY STREET,BROOME STREET,SPRING STREET,BROOME STREET,SPRING STREET,ADDRESS,NEW YORK,CROSBY STREET,,Closed,,The Police Department visited the location and no Encampment was found.,05/01/2022 12:48:46 AM,02 MANHATTAN,1004820013,MANHATTAN,984709,202399,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72221520374947,-73.9983440867378,"(40.72221520374947, -73.9983440867378)"
54047740,05/01/2022 12:01:09 AM,05/01/2022 02:00:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,111 VARICK STREET,VARICK STREET,BROOME STREET,DOMINICK STREET,BROOME STREET,DOMINICK STREET,ADDRESS,NEW YORK,VARICK STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 02:00:21 AM,02 MANHATTAN,1005780071,MANHATTAN,982579,203230,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.724495951627695,-74.00602859642758,"(40.724495951627695, -74.00602859642758)"
54045771,05/01/2022 12:01:25 AM,05/01/2022 12:44:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11102,3-04 27 AVENUE,27 AVENUE,3 STREET,4 STREET,3 STREET,4 STREET,ADDRESS,ASTORIA,27 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:44:58 AM,01 QUEENS,4004900101,QUEENS,1002503,221612,MOBILE,Unspecified,QUEENS,,,,,,,,40.77493121574984,-73.93409735353552,"(40.77493121574984, -73.93409735353552)"
54048252,05/01/2022 12:01:33 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,364 EAST  160 STREET,EAST  160 STREET,COURTLANDT AVENUE,MELROSE AVENUE,COURTLANDT AVENUE,MELROSE AVENUE,ADDRESS,BRONX,EAST  160 STREET,,In Progress,,,,03 BRONX,2024060109,BRONX,1007757,239438,MOBILE,Unspecified,BRONX,,,,,,,,40.82384628781796,-73.91506533775762,"(40.82384628781796, -73.91506533775762)"
54049691,05/01/2022 12:01:34 AM,05/01/2022 01:02:09 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10304,31 ROOSEVELT STREET,ROOSEVELT STREET,RICHMOND ROAD,BALTIC AVENUE,RICHMOND ROAD,BALTIC AVENUE,ADDRESS,STATEN ISLAND,ROOSEVELT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 01:02:14 AM,02 STATEN ISLAND,5031670001,STATEN ISLAND,958710,160036,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60590138211569,-74.09197897765196,"(40.60590138211569, -74.09197897765196)"
54053435,05/01/2022 12:01:35 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,86-12 91 STREET,91 STREET,86 AVENUE,86 ROAD,86 AVENUE,86 ROAD,ADDRESS,WOODHAVEN,91 STREET,,In Progress,,,,09 QUEENS,4088730024,QUEENS,1024675,192403,PHONE,Unspecified,QUEENS,,,,,,,,40.69468623438167,-73.85422072950702,"(40.69468623438167, -73.85422072950702)"
54052040,05/01/2022 12:01:35 AM,05/01/2022 12:14:11 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,199 EAST    4 STREET,EAST    4 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST    4 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:14:14 AM,03 MANHATTAN,1004000058,MANHATTAN,988666,203029,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72394331093979,-73.98406818600533,"(40.72394331093979, -73.98406818600533)"
54048972,05/01/2022 12:01:38 AM,05/01/2022 12:07:53 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,364 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:07:58 AM,09 MANHATTAN,1019530055,MANHATTAN,997426,235252,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81237834836466,-73.95240115039357,"(40.81237834836466, -73.95240115039357)"
54047516,05/01/2022 12:01:54 AM,05/01/2022 12:49:35 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11224,809 NEPTUNE AVENUE,NEPTUNE AVENUE,SHELL ROAD,SHEEPSHEAD BAY ROAD,SHELL ROAD,SHEEPSHEAD BAY ROAD,ADDRESS,BROOKLYN,NEPTUNE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:49:39 AM,13 BROOKLYN,3072470113,BROOKLYN,990802,150519,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.57981351081045,-73.97641304766265,"(40.57981351081045, -73.97641304766265)"
54052048,05/01/2022 12:02:08 AM,05/01/2022 12:55:27 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,106-02 CORONA AVENUE,CORONA AVENUE,50 AVENUE,51 AVENUE,50 AVENUE,51 AVENUE,ADDRESS,CORONA,CORONA AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:55:34 AM,04 QUEENS,4019350019,QUEENS,1024073,210270,ONLINE,Unspecified,QUEENS,,,,,,,,40.74372951268985,-73.85628593013955,"(40.74372951268985, -73.85628593013955)"
54050142,05/01/2022 12:02:08 AM,05/01/2022 01:03:51 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10463,135 WEST  225 STREET,WEST  225 STREET,MARBLE HILL AVENUE,JACOBUS PLACE,MARBLE HILL AVENUE,JACOBUS PLACE,ADDRESS,NEW YORK,WEST  225 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,05/01/2022 01:03:54 AM,08 BRONX,1022150470,MANHATTAN,1008669,258029,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.874870586144844,-73.91170242438503,"(40.874870586144844, -73.91170242438503)"
54045280,05/01/2022 12:02:10 AM,05/01/2022 12:34:39 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11232,560 40 STREET,40 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,40 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,05/01/2022 12:34:45 AM,07 BROOKLYN,3009170028,BROOKLYN,983356,176063,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64992888224949,-74.00322174839646,"(40.64992888224949, -74.00322174839646)"
54050908,05/01/2022 12:02:18 AM,05/01/2022 12:35:27 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,35 HEMLOCK STREET,HEMLOCK STREET,JAMAICA AVENUE,ETNA STREET,JAMAICA AVENUE,ETNA STREET,ADDRESS,BROOKLYN,HEMLOCK STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:35:30 AM,05 BROOKLYN,,BROOKLYN,1019648,190303,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68894376002383,-73.87235993446255,"(40.68894376002383, -73.87235993446255)"
54049399,05/01/2022 12:02:24 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11365,57-28 164 STREET,164 STREET,BOOTH MEMORIAL AVENUE,59 AVENUE,BOOTH MEMORIAL AVENUE,59 AVENUE,ADDRESS,FRESH MEADOWS,164 STREET,,In Progress,,,,07 QUEENS,4067300050,QUEENS,1038435,209618,ONLINE,Unspecified,QUEENS,,,,,,,,40.74186360422851,-73.80446144783807,"(40.74186360422851, -73.80446144783807)"
54047203,05/01/2022 12:02:27 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,181 TROUTMAN STREET,TROUTMAN STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,TROUTMAN STREET,,In Progress,,,,04 BROOKLYN,3031730046,BROOKLYN,1004149,194722,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70112130312718,-73.92823399634334,"(40.70112130312718, -73.92823399634334)"
54048971,05/01/2022 12:02:28 AM,05/01/2022 12:35:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,155 EAST   99 STREET,EAST   99 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   99 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:35:53 AM,11 MANHATTAN,1016270024,MANHATTAN,998322,226249,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.787666194344,-73.94918318134451,"(40.787666194344, -73.94918318134451)"
54050427,05/01/2022 12:02:39 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1175 GERARD AVENUE,GERARD AVENUE,MCCLELLAN STREET,EAST  167 STREET,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,BRONX,GERARD AVENUE,,In Progress,,,,04 BRONX,2024880036,BRONX,1006188,243393,PHONE,Unspecified,BRONX,,,,,,,,40.83470566279015,-73.92072145693805,"(40.83470566279015, -73.92072145693805)"
54049062,05/01/2022 12:02:43 AM,05/01/2022 12:06:36 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10027,362 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:06:43 AM,09 MANHATTAN,1019537504,MANHATTAN,997435,235247,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.812364611331716,-73.95236864734623,"(40.812364611331716, -73.95236864734623)"
54049278,05/01/2022 12:02:45 AM,,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,10314,WESTERLEIGH PARK,WESTERLEIGH PARK,MAINE AVENUE,GARRISON AVENUE,MAINE AVENUE,GARRISON AVENUE,UNRECOGNIZED,STATEN ISLAND,WESTERLEIGH PARK,,In Progress,,,,01 STATEN ISLAND,5004020001,STATEN ISLAND,946918,165194,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.620017180615136,-74.13447478760523,"(40.620017180615136, -74.13447478760523)"
54048359,05/01/2022 12:02:45 AM,05/01/2022 12:08:49 AM,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10065,400 EAST   62 STREET,EAST   62 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   62 STREET,,Closed,,The Police Department visited the location and no Encampment was found.,05/01/2022 12:08:57 AM,08 MANHATTAN,1014560046,MANHATTAN,995257,216655,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.761337531857315,-73.9602672251197,"(40.761337531857315, -73.9602672251197)"
54049978,05/01/2022 12:02:48 AM,05/01/2022 02:06:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,393 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,WHITE STREET,WALKER STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,05/01/2022 02:06:30 AM,01 MANHATTAN,1001930045,MANHATTAN,983490,201010,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71840271275526,-74.00274166032793,"(40.71840271275526, -74.00274166032793)"
54052080,05/01/2022 12:02:50 AM,05/01/2022 12:45:01 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,321 44 STREET,44 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,44 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,05/01/2022 12:45:05 AM,07 BROOKLYN,3007280065,BROOKLYN,981384,176305,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65059270104956,-74.01032843713013,"(40.65059270104956, -74.01032843713013)"
54046408,05/01/2022 12:03:07 AM,05/01/2022 12:30:55 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,425 SENATOR STREET,SENATOR STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,SENATOR STREET,,Closed,,The Police Department issued a summons in response to the complaint.,05/01/2022 12:31:00 AM,10 BROOKLYN,3058510070,BROOKLYN,978117,170897,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63574724438328,-74.02209707387185,"(40.63574724438328, -74.02209707387185)"
54051798,05/01/2022 12:03:10 AM,05/01/2022 12:37:28 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10040,71 THAYER STREET,THAYER STREET,SHERMAN AVENUE,BROADWAY,SHERMAN AVENUE,BROADWAY,ADDRESS,NEW YORK,THAYER STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,05/01/2022 12:37:33 AM,12 MANHATTAN,1021750070,MANHATTAN,1004372,253979,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.863765418523776,-73.92725226152615,"(40.863765418523776, -73.92725226152615)"
54050105,05/01/2022 12:03:14 AM,05/01/2022 12:55:42 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10018,455 WEST   40 STREET,WEST   40 STREET,LINCOLN TUNNEL BUS APPROACH,LINCOLN TUNNEL BUS EXIT,LINCOLN TUNNEL BUS APPROACH,LINCOLN TUNNEL BUS EXIT,ADDRESS,NEW YORK,WEST   40 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,05/01/2022 12:55:45 AM,04 MANHATTAN,1010500006,MANHATTAN,985476,215436,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75799845584007,-73.9955746399171,"(40.75799845584007, -73.9955746399171)"
54050629,05/01/2022 12:03:22 AM,05/01/2022 01:36:13 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,681 AUTUMN AVENUE,AUTUMN AVENUE,SUTTER AVENUE,BLAKE AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,BROOKLYN,AUTUMN AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,05/01/2022 01:36:17 AM,05 BROOKLYN,3042700003,BROOKLYN,1021126,183879,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67130532297437,-73.86706564120091,"(40.67130532297437, -73.86706564120091)"
54052109,05/01/2022 12:03:23 AM,05/01/2022 12:13:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,355 WEST  202 STREET,WEST  202 STREET,DEAD END,9 AVENUE,DEAD END,9 AVENUE,ADDRESS,NEW YORK,WEST  202 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:13:05 AM,12 MANHATTAN,1021840020,MANHATTAN,1006663,252740,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86035921934875,-73.9189736805977,"(40.86035921934875, -73.9189736805977)"
54045637,05/01/2022 12:03:28 AM,05/01/2022 12:14:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,190 EAST    7 STREET,EAST    7 STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST    7 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:14:43 AM,03 MANHATTAN,1003890011,MANHATTAN,989617,203349,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72482110745405,-73.9806369628186,"(40.72482110745405, -73.9806369628186)"
54053167,05/01/2022 12:03:32 AM,05/01/2022 12:37:01 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,119 POST AVENUE,POST AVENUE,WEST  204 STREET,WALTHER DELGADO WAY,WEST  204 STREET,WALTHER DELGADO WAY,ADDRESS,NEW YORK,POST AVENUE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,05/01/2022 12:37:05 AM,12 MANHATTAN,1022190009,MANHATTAN,1006323,254245,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86449084496832,-73.92019787371183,"(40.86449084496832, -73.92019787371183)"
54046071,05/01/2022 12:03:33 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,93 SAINT EDWARDS STREET,SAINT EDWARDS STREET,MONUMENT WALK,AUBURN PLACE,MONUMENT WALK,AUBURN PLACE,ADDRESS,BROOKLYN,ST EDWARDS STREET,,In Progress,,,,02 BROOKLYN,3020390001,BROOKLYN,990355,192246,PHONE,Unspecified,BROOKLYN,,,,,,,,40.694345527578996,-73.97798447750067,"(40.694345527578996, -73.97798447750067)"
54049340,05/01/2022 12:03:38 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10451,364 EAST  160 STREET,EAST  160 STREET,COURTLANDT AVENUE,MELROSE AVENUE,COURTLANDT AVENUE,MELROSE AVENUE,ADDRESS,BRONX,EAST  160 STREET,,In Progress,,,,03 BRONX,2024060109,BRONX,1007757,239438,MOBILE,Unspecified,BRONX,,,,,,,,40.82384628781796,-73.91506533775762,"(40.82384628781796, -73.91506533775762)"
54051786,05/01/2022 12:04:06 AM,05/01/2022 01:03:42 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10018,350 WEST   37 STREET,WEST   37 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   37 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 01:03:49 AM,04 MANHATTAN,1007600068,MANHATTAN,986044,214232,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75469368566714,-73.9935247127901,"(40.75469368566714, -73.9935247127901)"
